Author,Quote,Tags
Ralph Emerson,Go put your creed into the deed. Nor speak with double tongue.,
Euripides,The wisest men follow their own direction.,
William Sloane Coffin,"Hope arouses, as nothing else can arouse, a passion for the possible.",
Confucius,"Everything has beauty, but not everyone sees it.",
Pema Chodron,Nothing ever goes away until it has taught us what we need to know.,
Maya Angelou,"When you learn, teach. When you get, give.",
Dorothy Thompson,Only when we are no longer afraid do we begin to live.,
Andy Rooney,"If you smile when no one else is around, you really mean it.",
"Martin Luther King, Jr.",Love is the only force capable of transforming an enemy into friend.,
Carl Jung,"In all chaos there is a cosmos, in all disorder a secret order.",
,A man is not where he lives but where he loves.,
Winston Churchill,The price of greatness is responsibility.,
Paul Tillich,Decision is a risk rooted in the courage of being free.,
William Burroughs,Your mind will answer most questions if you learn to relax and wait for the answer.,
,The world doesn't happen to you it happens from you.,
Albert Einstein,We cannot solve our problems with the same thinking we used when we created them.,
,More powerful than the will to win is the courage to begin.,
Richard Bach,Learning is finding out what you already know.,
Alfred Painter,Saying thank you is more than good manners. It is good spirituality.,
Lao Tzu,Silence is a source of great strength.,
Anne Lamott,Joy is the best makeup.,
Seneca,There is no great genius without some touch of madness.,
Buddha,A jug fills drop by drop.,
Doris Mortman,"Until you make peace with who you are, you'll never be content with what you have.",
Ralph Emerson,We aim above the mark to hit the mark.,
Catherine Pulsifer,Being angry never solves anything.,
Orison Marden,All men who have achieved great things have been great dreamers.,
Arthur Conan Doyle,"Mediocrity knows nothing higher than itself, but talent instantly recognizes genius.",
Walter Lippmann,"Where all think alike, no one thinks very much.",
Marcus Aurelius,Everything that exists is in a manner the seed of that which will be.,
Marie Curie,Be less curious about people and more curious about ideas.,
Charles Perkhurst,The heart has eyes which the brain knows nothing of.,
Robert Kennedy,Only those who dare to fail greatly can ever achieve greatly.,
Richard Whately,"Lose an hour in the morning, and you will spend all day looking for it.",
Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them.",
William Shakespeare,"Go to your bosom: Knock there, and ask your heart what it doth know.",
Dalai Lama,"Happiness mainly comes from our own attitude, rather than from external factors.",
Lao Tzu,"If you do not change direction, you may end up where you are heading.",
,What we see is mainly what we look for.,
Marsha Petrie Sue,Stay away from what might have been and look at what will be.,
William James,Act as if what you do makes a difference. It does.,
Byron Pulsifer,Passion creates the desire for more and action fuelled by passion creates a future.,
Alexander Pope,"Do good by stealth, and blush to find it fame.",
Napoleon Hill,"Opportunity often comes disguised in the form of misfortune, or temporary defeat.",
Thomas Jefferson,Don't talk about what you have done or what you are going to do.,
Seneca,Most powerful is he who has himself in his own power.,
Bernard Shaw,We don't stop playing because we grow old; we grow old because we stop playing.,
Byron Pulsifer,Experience can only be gained by doing not by thinking or dreaming.,
Mark Twain,"Always tell the truth. That way, you don't have to remember what you said.",
Lao Tzu,From wonder into wonder existence opens.,
Napoleon Bonaparte,He who fears being conquered is sure of defeat.,
John Lennon,Life is what happens while you are making other plans.,
Wayne Dyer,Doing what you love is the cornerstone of having abundance in your life.,
Johann Wolfgang von Goethe,Kindness is the golden chain by which society is bound together.,
Nietzsche,You need chaos in your soul to give birth to a dancing star.,
Byron Pulsifer,It can't be spring if your heart is filled with past failures.,
Brendan Francis,No yesterdays are ever wasted for those who give themselves to today.,
Tom Krause,"There are no failures, just experiences and your reactions to them.",
Pablo Picasso,Action is the foundational key to all success.,
Abraham Maslow,What is necessary to change a person is to change his awareness of himself.,
Zig Ziglar,Positive thinking will let you do everything better than negative thinking will.,
Mother Teresa,We shall never know all the good that a simple smile can do.,
Frances de Sales,Nothing is so strong as gentleness. Nothing is so gentle as real strength.,
Ralph Waldo Emerson,Imagination is not a talent of some men but is the health of every man.,
Kenji Miyazawa,We must embrace pain and burn it as fuel for our journey.,
,Don't wait for people to be friendly. Show them how.,
Chinese proverb,"A gem cannot be polished without friction, nor a man perfected without trials.",
George Matthew Adams,Each day can be one of triumph if you keep up your interests.,
Robert M. Pirsig,The place to improve the world is first in one's own heart and head and hands.,
Winston Churchill,The pessimist sees difficulty in every opportunity. The optimist sees the opportunity in every difficulty.,
Albert Gray,Winners have simply formed the habit of doing things losers don't like to do.,
Ralph Emerson,Nature is a mutable cloud which is always and never the same.,
